question,answer
"What is the name of the journal owned by the International Society for Evolution, Medicine and Public Health?","Evolution, Medicine and Public Health"
What number of experts from various disciplines agreed upon the 14 core principles intrinsic to the education and practice of evolutionary medicine?,56
What is a necessary condition for an adaptation to occur?,It must be evolvable.
What was the original way that humans lived?,as simple hunter-gatherers in small tribal bands
What is one characteristic of the modern Western diet that distinguishes it from the diet of early hunter-gatherers?,"high quantities of fat, salt, and simple carbohydrates"
What percentage of daily deaths globally are due to age-related causes?,66
What percentage of people in industrialized nations have a sedentary lifestyle?,90%
What was one major factor leading to the absence of intestinal parasites in contemporary humans?,Improved sanitation
What is the name of the hypothesis suggesting that human immunity relies on exposure to certain microorganisms?,The hygiene hypothesis
What is the role of essential microorganisms in building and training immune functions?,"They play a crucial role in building and training immune functions that fight off and repel some diseases, and protect against excessive inflammation."
What is the name of the book written by Randy Nesse and George C. Williams mentioned in the context?,Why We Get Sick
Did Charles Darwin discuss the implications of his work for medicine?,No
What were the influences on the development of medicine's approach?,"Galileo, Newton, and Descartes"
What is the primary focus of the discipline described in the context?,"single, materialistic— i.e., anatomical or structural (e.g., in genes and their products)— changes within the body"
What is the concept that Nikolaas Tinbergen distinguished as being relevant to understanding biological traits?,Between evolutionary and proximate mechanisms
What kind of explanation does an evolutionary explanation for a disease provide?,Why we are all the same in ways that leave us vulnerable to disease
What year did Paul Ewald publish his paper 'Evolutionary Biology and the Treatment of Signs and Symptoms of Infectious Disease'?,1980
Who hypothesized that morning sickness could be an adaptation that protects the developing fetus from foodborne illnesses?,Paul Sherman
What is a possible source of the precursors of human morality?,The behaviors of many other social animals
Do all social animals have to modify or restrain their behaviors for group living?,Yes
What is E.O. Wilson's argument for the key factor leading to the success of ant colonies?,The existence of a sterile worker caste
What is the primary reason why cooperation among ants is essential?,The primary reason why cooperation among ants is essential is because a solitary ant has an improbable chance of long-term survival and reproduction.
What is one of the reasons why ants are successful as a species?,opportunities for survival and reproduction
What is the estimated time period when the common ancestor of humans and chimpanzees/bonobos lived?,four to six million years ago
What are some traits that primates exhibit which would have been necessary for the evolution of morality?,"High intelligence, a capacity for symbolic communication, a sense of social norms, realization of 'self', and a concept of continuity"
What characteristic is shared by humans and other social animals according to Michael Shermer?,Premoral sentiments
What is one benefit of being part of an altruistic group?,Improving the chances of finding food
What is an example of how chimpanzees practice reciprocity?,Chimpanzees are more likely to share food with individuals who have previously groomed them.
What is the approximate size of a chimpanzee group?,50 individuals
What was the estimated size of hunter gatherer societies?,A few hundred individuals
"According to Dr. de Waal, how many people can modern humans maintain stable social relationships with?",100-200
What is a possible barrier to the evolutionary development of morality?,The selection against individuals with some morality
What effect does a moral system have on individuals?,It causes individuals with morality to be treated worse than those with no morality.
What would prevent the emergence of higher degrees of morality if there was initially low degree morality?,Low degree morality becoming an adaptive valley
What is the argument made by these scientists about evolutionary explanations of morality?,"That they are not ruled out, but only some specific types"
What is positively selected by evolution according to the context?,Impunity
"According to the context, what was the original function of the brain according to the social brain hypothesis?",to process factual information
What is the function of the neocortex in humans and primates?,It is responsible for reasoning and consciousness.
"What are the two important concepts that social animals, such as humans, are capable of?",coalition formation and tactical deception
What is theory of mind according to Martin Brüne?,The ability to infer another individual's mental states or emotions
What is a disadvantage of group living?,competition within the group for resources and mates
What concept appears to be contradictory to evolutionary thought?,Altruism
"What factor, according to E. Fehr, can account for the evolution of altruism?",Kin selection and inclusive fitness
Who theorized the concept of the prisoner's dilemma?,John Nash
When did theory of mind first appear in primates?,Not specified
What is a unique trait that marks the divergence of modern humans?,The emergence of language
What mental conditions are often associated with failure to understand another's intentions and emotions?,"Autism, schizophrenia, bipolar disorder, some forms of dementia, and psychopathy"
"According to psychologist Matt J. Rossano, what emerged after morality?",Religion
What is one strategy humans discovered for restraining selfishness and building more cooperative groups?,"By including ever watchful ancestors, spirits and gods in the social realm"
What emotion is believed to play an important role in certain forms of morality?,Disgust
What are some examples of stimuli that can elicit the emotion of disgust?,"Things that increase the risk of an infectious disease, and disgust against evolutionary disadvantageous mating"
What areas in the brain are activated by situations that threaten group cohesion or cooperation?,Areas associated with disgust
What fields does the field draw on?,Neuroscience and evolutionary biology
What fields is evolutionary neurosciences conceptually and theoretically related to?,"A diverse range of fields including cognitive genomics, neurogenetics, developmental neuroscience, neuroethology, comparative psychology, evo-devo, behavioral neuroscience, cognitive neuroscience, behavioral ecology, biological anthropology and sociobiology."
What types of systems do evolutionary neuroscientists study?,"vocal, visual, auditory, taste, and learning systems"
When did studies in evolutionary neuroscience begin?,1859
What were the principles based on which Darwinism was founded?,natural selection and variation
What is a key concept in modern comparative neuroanatomy?,Phylogenetic changes occurring independently between species over time
What is believed to correlate with an increase in brain size?,an increase in neural centers and behavior complexity
How many archetypes did Cuvier believe in?,At least four
What is the current widely accepted view of phylogenies?,a phylogenetic bush
"As body size increases, what happens to the brain-to-body ratio?",It reduces
What is being suggested as a more accurate predictor of brain function?,Absolute brain size
What is accepted as the cause of adult species showing differences?,The evolution of development
What technique was developed by C. Golgi in 1873 that allowed for the description of the brain at the cellular level?,The silver nitrate method
When was the 'original Nauta procedure' discovered?,1950
"What is estimated age of the earliest brainless creatures, according to the context?",550 million years ago
What was one purpose of the cells in this organism?,propelling itself through bodies of water
What is a distinctive feature of the amphioxi's survival strategy?,sitting on the seafloor to eat
When did the Earth enter the Cambrian period?,500 million years ago
What was one of the main steps that pushed the development of a brain in organisms?,Hunting
What played the role of an early brain in animal development?,Allostasis
What is the reason why animals that had not developed allostasis would be at a disadvantage?,Death was a higher risk factor
What is one way in which early organisms developed complexity?,"They started to develop cardiovascular, respiratory, and immune systems."
"According to Darwin's theory in The Descent of Man, what evolved simultaneously with the body?",The mind
What is the concept described by Plato as the 'lizard mind'?,The deepest layer of a three-part human mind
What is suggested to be the evolutionary origin of all mammals and potentially other animals?,A common order pattern
What is estimated age of the reptilian brain?,300 million years ago
What is one of the ways humans process their surroundings?,Through the wavelengths of light
What can happen when the brain uses an inadequate memory to respond to a situation?,The mind perceives a false illustration
What is the primary location in the brain where visual information is interpreted?,The occipital lobe
What is the actual nature of visual perception according to recent research?,Our visual perception is much closer to a construction of the brain than a direct 'photograph' of what is in front of us.
What phenomenon can cause an on-edge soldier to believe a young child with a stick is a grown man with a gun?,The fight-or-flight mode being activated by the brain's sympathetic system
What is the organization of the human auditory cortex divided into?,"core, belt, and parabelt"
Can the human brain accurately predict what has moved if it hears a sound?,True
What is a key difference between the cognitive lives of human primate relatives and those of vocal learning birds?,Nonhuman primates seem to lack imitative abilities
Is auditory perception a recent development in the history of the human race?,No
What is one reason why primates may be poorly equipped to learn sounds?,Visual cues and motoric pathways developed millions of years earlier in their evolution
What is the underlying mechanism by which an animal's brain develops specific cognitive functions?,Evolution
What specific social skills apart from language have been theorized to be passed on by offspring?,"Trust, vulnerability, navigation, and self-awareness"
What is the estimated time period when humans shared a common ancestor with chimpanzees and bonobos?,six to eight million years ago
Do non-human primates exhibit some traits that would have been necessary for the evolution of religion?,Yes
What was the peak time for the size of the hominid brain?,"500,000 years ago"
"What is believed to be responsible for neural computations underlying complex phenomena such as perception, thought, language, attention, episodic memory and voluntary movement?",The cerebral neocortex
When did the critical event in the evolution of the neocortex take place?,"About 500,000 years ago"
What is the basis for the study mentioned in the context?,A regression analysis of neocortex size plotted against a number of social behaviors of living and extinct hominids
What is a key factor in the evolution of belief according to Lewis Wolpert?,Causal beliefs
Can chimpanzees figure out how to escape from pens closed with multiple latches?,Yes
What is the factor that determines the depth of comprehension in an animal?,The size of the prefrontal cortex
Does individual religious belief require prior development of language?,No
What is believed to be a primary driver of the emergence of language?,The need for humans to explain and comprehend natural phenomena
What is theoretically impossible for socially accepted hypotheses to do?,Evolve in a Darwinian social world
What is the basic mechanism for establishing trust in symbolic cultural facts in hunter-gatherer societies?,Collective ritual
What is the name of the theory mentioned in the context that views the emergence of language as the consequence of social transformation?,Ritual/speech coevolution theory
What is the argument against the 'sudden mutation' idea made by scholars in the intellectual camp mentioned?,"That even if a chance mutation were to install a language organ in an evolving bipedal primate, it would be adaptively useless under all known primate social conditions"
What is thought to have evolved before or concurrently with language?,A very specific social structure
"According to the text, why are animal vocal signals considered trustworthy?",Because they just cannot fake those sounds
What is described as being 'hard to fake' in primate vocal calls?,reliability
What blocks the evolution of primates' signalling systems along language-like lines?,Primates' resistance to deception
Do some social animals exhibit pre-moral sentiments?,True
"What characteristics are shared by humans and other social animals, particularly great apes?","Attachment and bonding, cooperation and mutual aid, sympathy and empathy, direct and indirect reciprocity, altruism and reciprocal altruism, conflict resolution and peacemaking, deception and deception detection, community concern and caring about what others think about you, and awareness of and response to the social rules of the group"
What is the primary motivation for social animals to restrain or alter their behavior?,To build more cooperative groups and reduce individual selfishness
What is one way social animals maintain their social order?,through certain rules of expected behavior and dominant group members enforcing order through punishment
What is the average number of individuals in a chimpanzee group?,50
"According to Dr. de Waal, what is unique about human morality compared to primate societies?",Human morality has two extra levels of sophistication that are not found in primate societies.
"According to Rossano's theory, what is the initial nature of individual religious belief?",epistemological
What is one explanation for the origin of religions?,The brain architecture that developed early in the genus Homo
What is the view on the origin of religion held by Stephen Jay Gould?,Religion evolved as a byproduct (exaptation or spandrel) of psychological mechanisms that evolved for other reasons.
What is one example of a mechanism humans may use to infer the presence of organisms that might do harm?,Agent detection
What are some adaptations that allow humans to imagine purposeful agents behind unexplained observations?,These three adaptations: (among others)
What is the concept proposed by Paul D. MacLean that categorizes the brain into three parts?,"The triune brain: the reptilian brain, the limbic system, and the neocortex"
What is generally considered stronger between the neocortex and the limbic system?,The limbic system
What may help people who participate in a religion feel better?,Calming the mind
When did Fred H. Previc propose that human religion started?,around 80 thousand years ago
When did the earliest extant shamanic cave-paintings date?,"around 40,000 years ago (kya)"
When did humans first exhibit credible evidence of religious/ritualistic behavior?,Around 45–200 thousand years ago
Where was the earliest evidence for treatment of the dead found?,Atapuerca in Spain
Where are some of the well-known Neanderthal burial sites?,"Shanidar in Iraq, Krapina in Croatia, and Kebara Cave in Israel"
What is the age of the human remains discovered?,"100,000 years"
When did anatomically modern hominids who emigrated from Africa to the Middle East invent burial rituals incorporating grave goods?,"Roughly 100,000 years ago"
What is a common approach used to communicate and share supernatural concepts among others?,anchoring these supernatural beings in material form through representational art
What does the presence of symbolism in the fossil record indicate?,A mind capable of religious thoughts
From at least how many years ago is there evidence of the use of pigments such as red ocher?,"100,000"
"Is the color red universally associated with blood, sex, life, and death across human cultures?",True
When did organized religion trace its roots back to?,"11,000 years ago"
What was the primary impact of the Neolithic Revolution on human societies?,A population explosion
Do supernatural beliefs in bands and small tribes typically justify central authority?,No
What is a common feature found in almost all state societies and chiefdoms worldwide?,Justifying political power through divine authority
When was the invention of writing?,"5,000 years ago"
What is the approximate date range for the Pyramid Texts from ancient Egypt?,Between 2400 and 2300 BCE
What was the primary difference between religious ideas in pre-literate societies and those with written records?,"The primary difference is that religious ideas in pre-literate societies were based on an oral tradition, while those with written records used sacred texts maintained by a select group (clergy)."
What was one outcome of writing enabling religions to develop coherent doctrinal systems?,Remaining independent of time and place
What does Karl Popper call the stage on the human journey to truth?,Verisimilitude
What is the primary focus of adaptationist thinking in evolutionary psychology?,Human psychological adaptations with regard to the ancestral problems they evolved to solve
What do evolutionary psychologists argue about the structure of the human mind?,"That it has modularity, with different psychological mechanisms evolving to solve different adaptive problems"
What is the main idea behind evolutionary psychology?,That much of human behavior is the output of psychological adaptations that evolved to solve recurrent problems in human ancestral environments
What are some universal behaviors or traits that evolutionary psychologists consider as candidates for evolutionary adaptations?,"The abilities to infer others' emotions, discern kin from non-kin, identify and prefer healthier mates, and cooperate with others."
What are some examples of fields that apply evolutionary psychology?,"economics, environment, health, law, management, psychiatry, politics, and literature"
What are some of the criticisms leveled against evolutionary psychology?,"Questions of testability, cognitive and evolutionary assumptions, importance of non-genetic and non-adaptive explanations, and political and ethical issues"
What is the central assumption of the theory being described?,The human brain is composed of a large number of specialized mechanisms that were shaped by natural selection over a vast period of time
What is the organizing theory that proponents suggest roots psychology into the other natural sciences?,Evolutionary theory
What is the primary goal of Evolutionary Psychology?,"To assemble a single, logically integrated research framework for the psychological, social, and behavioral sciences."
What is the purpose of synthesizing existing belief and research practice?,To work out all of the revisions
What is the primary goal of evolutionary psychology?,To identify evolved emotional and cognitive adaptations that represent 'human psychological nature'
What is Evolutionary Psychology?,A large set of hypotheses
What is the primary domain specified by Evolutionary Psychology for mental processes?,the problems of survival and reproduction
"According to evolutionary psychologists, what is the primary function of cognitive modules in the human brain?",specialized functions that deal with specific issues
What is an example of a mechanism that deals with recurrent adaptive problems over the course of human evolutionary history?,Domain-specific mechanisms
What are some of the disciplines that evolutionary psychology draws upon?,"cognitive psychology, evolutionary biology, behavioral ecology, artificial intelligence, genetics, ethology, anthropology, archaeology, biology, ecopsycology, and zoology"
What are some key differences between evolutionary psychology and sociobiology?,"The emphasis on domain-specific rather than domain-general mechanisms, measures of current fitness, mismatch theory, and psychology rather than behavior."
What was Charles Darwin's prediction about psychology in his book 'The Origin of Species'?,That it would develop an evolutionary basis
What was one of the topics that Charles Darwin's later books focused on?,animal emotions and psychology
What are the scientific disciplines that have contributed to the development of evolutionary psychology?,"The biological sciences (especially evolutionary theory as it relates to ancient human environments, the study of paleoanthropology and animal behavior) and the human sciences (especially psychology)"
Who contributed to establishing evolutionary thinking in psychology and the other social sciences?,Robert Trivers
Who combined evolutionary theory with studies of animal and social behavior in his book Sociobiology: The New Synthesis?,Edward O. Wilson
"What is sociobiology, according to its definition?",the systematic study of the biological basis of all social behavior
What year did Donald Symons publish his book 'The Evolution of Human Sexuality'?,1979
What is another name sometimes used by researchers for 'evolutionary psychology'?,Human ecological research
What is a primary focus of behavioral genetics?,Establishing some measure of the relative influence of genetics and environment on behavior
What type of evolutionary theory was developed in the late 1970s and early 1980s to explain human behavior?,Dual inheritance theory (DIT)
What is the origin of the theories on which evolutionary psychology is based?,Charles Darwin's work
What is one way that natural selection is thought to have provided humans with psychological adaptations?,Many psychological adaptations
What is the primary outcome of sexual selection for male mammals?,adaptations that help them compete for females
In what year did evolutionary biologist William D. Hamilton propose inclusive fitness theory?,1964
What is the mechanism by which genes can increase their replication?,Influencing an organism's social traits to help the survival and reproduction of other copies of the same genes
What is the primary condition for self-sacrificing behaviors to evolve according to Hamilton's rule?,They typically help the organism's close relatives so much that it more than compensates for the individual animal's sacrifice.
What is the strategy followed by humans according to the r/K selection theory?,having fewer offspring but investing much more in each one
What is the name of the theory that explains how parents invest in their offspring?,Parental investment theory
"According to the Trivers–Willard hypothesis, what type of parents tend to invest more in daughters?",Parents in poor conditions
What does evolutionary psychology propose about cognition?,Evolutionary psychology proposes that cognition has a functional structure with a genetic basis that has evolved by natural selection
What is the primary goal of evolutionary psychologists in studying psychological mechanisms?,to understand the survival and reproductive functions they might have served over the course of evolutionary history
"According to the theory of natural selection, what is humans' relationship with others often characterized as?",in conflict
What is recognized by evolutionary psychology as playing a role in evolving prosocial traits such as altruism?,Kin selection and reciprocity
What has been found by evolutionary psychologists regarding infanticide?,Modest findings
What is the name of the brain region involved in the stress response mentioned in the context?,hypothalamic pituitary adrenal axis
What was the response from historical experts regarding the exploration of historical events by proponents of evolutionary psychology in the 1990s?,Highly negative
What was the outcome of the attempts to build up a subfield of psychohistory?,It collapsed under the weight of its presuppositions
What is the term used for traits that are byproducts of evolutionary adaptations?,Spandrels
Did ancestral humans read or write?,No
What can cause changes in manifest behavior?,Variations in universal mechanisms interacting with different local environments
What are the three characteristics that can be used to identify an adaptation?,"probable complexity, species universality, and adaptive functionality"
Are psychological adaptations generally obligate or facultative?,Obligate
What type of adaptations are sensitive to specific conditions or circumstances?,Facultative
What types of cultural universals do evolutionary psychologists consider as potential candidates for evolutionary adaptations?,Behaviors or traits that occur universally in all cultures
What is one explanation for basic gender differences?,Sexually dimorphic psychological adaptations that reflect the different reproductive strategies of males and females
What were the personality traits that males had a higher rate of in comparison to females?,"Dominance, tension, and directness"
"What is the term used to describe the environment in which the brain evolved, according to evolutionary psychology?",Environment of evolutionary adaptedness
"When did humans, the genus Homo, appear?",Between 1.5 and 2.5 million years ago
When did the Pleistocene epoch end?,"12,000 years ago"
What were the environments of the ancestors of modern humans like?,"They lived in smaller groups, had more cohesive cultures, and had more stable and rich contexts for identity and meaning."
What is the reason why researchers may not be able to accurately determine how hunter-gatherers lived in the environment of evolutionary adaptedness?,Because surviving hunter-gatherer societies are different from each other and have been pushed out of the best land and into harsh environments
What is the term used to describe a similar developmental system for young children found in small-band hunter-gatherer societies?,The 'hunter-gatherer childhood model' or 'evolved developmental niche'
What are some characteristics of a niche that are similar between social mammals and human children?,"soothing perinatal experience, several years of on-request breastfeeding, nearly constant affection or physical proximity, responsiveness to need (mitigating offspring distress), self-directed play, and for humans, multiple responsive caregivers."
What type of environments do humans appear to be mostly adapted to?,Pleistocene environments
How many people are murdered by guns in the US annually?,"over 20,000"
Who coined the term 'supernormal stimulus'?,Niko Tinbergen
What is the context discussing as exaggerated stimuli?,television
What is Mark van Vugt's argument regarding modern organizational leadership?,"That humans are not adapted to work in large, anonymous bureaucratic structures with formal hierarchies."
What is one goal of adaptationist research?,To identify which organismic traits are likely to be adaptations
What is one characteristic of an adaptation that distinguishes it from a byproduct or random variation?,Evidence of species universality
"What is the primary focus of evolutionary developmental psychology, or 'evo-devo'?",How adaptations may be activated at certain developmental times
What is one strategy evolutionary psychologists use to develop and test hypotheses about whether a psychological trait is likely to be an evolved adaptation?,Cross-cultural Consistency
What types of human behaviors are believed to be evolved psychological adaptations?,"Smiling, crying, and facial expressions"
"According to the context, what is referred to as 'paternity uncertainty'?",The potential misidentification of genetic offspring by males
What is a possible function of morning sickness during early pregnancy?,To avoid the ingestion of toxins that could damage the fetus
What field of study helps to identify the proximate manifestations of psychological adaptations?,Neuropsychology
What is a recent research finding that suggests evolution does not always occur across large spans of time?,Some evolutionary shifts can be fast and dramatic.
What types of sources of data are used by evolutionary psychologists?,"experiments, archaeological records, data from hunter-gatherer societies, observational studies, neuroscience data, self-reports and surveys, public records, and human products"
What are the broad categories of adaptive problems in evolutionary psychology?,"Survival, mating, parenting, family and kinship, interactions with non-kin, and cultural evolution"
What are the three major problems faced by the ancestors of present-day humans?,Food selection and acquisition; territory selection and physical shelter; and avoiding predators and other environmental threats.
Who argued that special anatomical and physical adaptations of the mammalian cerebral cortex gave rise to consciousness?,John Eccles
What type of circuitry is thought to have originally evolved in pre-mammalian species?,Recursive circuitry
Who suggested that humans evolved consciousness to make themselves the subjects of thought?,Richard Dawkins
What types of primates demonstrated self-awareness in mirror tests according to Gordon Gallup?,Chimpanzees and orangutans
What is the example mentioned in the context for an unconscious behavior?,turning right when riding a bike
What is the primary purpose of depth perception according to evolutionary psychologists?,To guide action
"According to evolutionary psychologists, what is the primary function of eyesight in animals?",directing action
What percentage of one's metabolic resources does the brain consume?,One-fourth
What type of cues are used for depth perception?,Visual cues
What determines the range over which an animal hears?,adaptation
What is an example of a valuable substance that humans have an intrinsic hunger for?,Salt and sugar
What is an example of sensory abilities coevolving?,The hearing of echolocating bats and that of the moths that have evolved to respond to the sounds that the bats make.
What is prosopagnosia?,A specific defect where people with damage to a particular part of the brain are unable to recognize faces
What is the example of how the input comes during development and helps shape that development?,Migrating birds learning to orient themselves by the stars during a critical period in their maturation.
What is an example of how animals evolved?,Pavlovian conditioning
Who began a line of research suggesting that many emotions are universal?,Paul Ekman
What are the five basic emotions that humans share according to Paul Ekman?,"Fear, sadness, happiness, anger, and disgust"
What is the neurobiological basis of motivation mentioned in the context?,the reward system of the brain
"According to evolutionary psychology, what type of strategies do humans use for problem-solving?",heuristics
What is an example of a cognitive bias that can occur when people try to identify patterns in random sequences?,The Gamblers' Fallacy
"According to the context, what percentage chance do most people believe there is of getting Tails when a fair coin has been flipped 9 times and Heads appears each time?",less than 50%
What is a possible reason why humans find it easier to make diagnoses or predictions using frequency data?,their ancestors living in relatively small tribes
What is evolutionary psychology primarily interested in finding?,"Commonalities between people, or basic human psychological nature"
What does heritability refer to in the context of personality traits?,the differences between people
What is one possible explanation for why some people have different personality traits?,Inter-individual variability around a general optimum
Is being a 'cheater' or a sociopath an advantageous behavioral morph in certain populations?,true
What happens to shared environmental influences on personality after adolescence?,They decrease to near zero
What age range does Steven Pinker suggest humans learn to talk?,1-4
"According to Pinker and Bloom (1990), what is a common characteristic between language and complex organs of the body?",Language has evolved as an adaptation
"According to Chomsky, did language evolve as an adaptation or a byproduct?",Byproduct
"What is the name of the gene associated with the evolution of human language, according to evolutionary psychologists?",FOXP2
When did the unique allele of the FOXP2 gene first appear?,Between 100 and 200 thousand years ago
Do researchers argue that an innate grammar module is necessary to explain human language acquisition?,No
What does Tomasello argue about how humans learn complex behavior?,Through experience
Does Tecumseh Fitch agree that language is an adaptation?,No
What does Steven Pinker argue about the evolutionary origins of language?,That it is best conceptualized as a convergence of many separate adaptations into a complex system.
What are some evolutionary hypotheses that posit how language may have evolved?,"Several evolutionary hypotheses have been posited: that language evolved for the purpose of social grooming, that it evolved as a way to show mating potential or that it evolved to form social contracts"
What is one of the main factors considered by evolutionary psychologists in understanding human evolution?,sexual selection
What is the fundamental difference between males and females?,The size differences of gametes (anisogamy)
Who proposed that anisogamy typically results in different levels of parental investment between the sexes?,Trivers
In what type of animals do females typically make a larger parental investment than males?,Mammals
What year did Buss and Schmitt's sexual strategies theory propose that humans have evolved sexually dimorphic adaptations?,1993
"According to the strategic interference theory, what is a common emotional response that occurs when the preferred reproductive strategies of one sex interfere with those of the other?",Anger or jealousy
What is a common difference in reactions to emotional and sexual infidelity between men and women?,"Females generally react more adversely to emotional infidelity, while males react more to sexual infidelity."
What is one reason why women may prefer a mate who can offer resources?,a woman risks losing such resources with a mate who commits emotional infidelity
What type of infidelity might be more aversive for men?,Sexual infidelity
What is the approximate time frame during which a woman's ovulatory phase occurs?,Days 10-15 of a woman's cycle
Do women's mating preferences vary across their ovulatory cycle?,Yes
What did Haselton and Miller (2006) find out about highly fertile women's preferences in short-term mates?,They prefer creative but poor men
"What are the consequences of parental investment on an individual's future condition, survival, and reproductive output?",It may be detrimental
What is one component of fitness mentioned in the context?,The well-being of existing offspring
What is a driving factor in the evolution of parental care?,The difference between the benefits and the costs
What is a common phenomenon that allegedly occurs at a higher rate among stepchildren?,The Cinderella effect
What is considered the most important risk factor for child homicide according to Daly and Wilson (1996)?,The presence of a stepparent
What are some of the adaptive problems that parents face?,Accurate identification of one's offspring and the allocation of one's resources among them
Does the passage suggest that stepparents are more likely to abuse stepchildren?,False
What is the sum of an organism's classical fitness and the number of equivalents of its own offspring?,Inclusive fitness
What was generally believed about evolutionary success until 1964?,That genes only achieved it by causing the individual to leave the maximum number of viable offspring
Who proved mathematically that a gene can increase its evolutionary success by promoting the reproduction and survival of related or similar individuals?,W. D. Hamilton
What is the mathematical principle that explains how natural selection can perpetuate altruism?,Hamilton's rule
What is a potential mechanism by which an altruism gene can increase its own prevalence in a population?,Because relatives are likely to share genes with the altruist due to common descent.
What is the topic being distinguished from in the context?,The green-beard effect
Is there substantial evidence that humans act generally more altruistically to close genetic kin compared to genetic non-kin?,Yes
What evolutionary game theory concept proposes that cooperation can be maintained with non-kin via mutually beneficial reciprocity?,Mutually beneficial reciprocity
What is a necessary condition for direct reciprocity to lead to the evolution of cooperation?,The probability of another encounter between the same two individuals exceeds the cost-to-benefit ratio of the altruistic act.
"According to the context, what factor influences the decision to help someone?",Reputation of the recipient
What is a condition for indirect reciprocity to promote cooperation?,The probability of knowing someone's reputation exceeding the cost-to-benefit ratio of the altruistic act
What is the evolutionary purpose of moral indignation?,to prevent one's altruism from being exploited by cheaters
What do evolutionary psychologists expect to see in adaptations that evolved to maximize the benefits and minimize the drawbacks of reciprocity?,social motivations matching what is seen
In what year did an experiment show that people were better at remembering the faces of people when those faces were associated with stories about those individuals cheating?,1996
What is one possible explanation for why humans might be more cooperative towards members of their own tribe?,Tribal warfare
"What is an example of altruistic behavior that cannot be justified in terms of kin selection, direct reciprocity, or indirect reciprocity?",Punishing in-group members who violate in-group rules
What is a primary focus area for evolutionary psychology?,Individual-level behaviors
What is the primary function of the psyche according to Tooby and Cosmides?,To generate adaptive rather than repetitive behavior
What is being constructed based on individual preferences?,A private culture
"According to Tooby and Cosmides (1989), what do evolutionary psychologists assume genes contain?",the information for the development and control of the organism
"According to evolutionary psychologists, how do they view the influence of the environment on human development?",As an activator or trigger for the programmed developmental instructions encoded in genes
"According to evolutionary psychologists, what happens to the innate modules in the human brain after they are developed?",They are activated by some environmental event
What is a criticism of the idea that cognitive specialization only comes about through distant ancestors' environment?,That it is reductionist
"According to Paul Baltes, what happens to the benefits granted by evolutionary selection with age?",They decrease
What is one of the main reasons why modern humans suffer from aging and its related infirmities?,The lack of evolutionary pressures against nonadaptive conditions
What is the field that has made many discoveries in traditional social psychology topics?,Evolutionary social psychology
When do humans typically show determination?,at an early age
Who are some prominent theorists and evolutionary psychiatrists mentioned in the context?,"Michael T. McGuire, Anthony Stevens, and Randolph M. Nesse"
Which group is found to be more likely to have creative professions?,The close relatives of people with schizophrenia
"According to the American Psychiatry Association report in 1994, does schizophrenia occur at different rates in Western and non-Western cultures?",No
What is the name of the evolutionary theory linked to psychological and behavioral sex differences?,Geodakyan's evolutionary theory of sex
What is the concept that suggests sex differentiation in a species creates two partitions?,Conservational (females) and Variational (males)
What is one area where males tend to show superiority over females?,Exploratory abilities
Is the pattern of higher mortality and birth rates in males a reflection of systemic variational function?,True
What is one condition that Trofimova suggested has a higher rate in males compared to females?,Autism
What is the suggested purpose of the 'male partition' variational function?,Irrelevance/redundancy pruning of an excess
What might facilitate males' higher rates of disengagement from normative expectations?,Their high rates of communicative disorders and psychopathy
What is hypothesized to be the reason for males being more aggressive than females?,The far greater reproductive competition faced by them
Why are males generally involved in more crimes?,"According to the text, it may be because engaging in highly risky and violently aggressive behavior can increase their status and therefore reproductive success."
"According to the text, what is the age range during which competition over females is theorized to be particularly intensive?",Late adolescence and young adulthood
What is the main argument presented by Steven Pinker in his book The Better Angels of Our Nature?,"That non-state societies without a police needed a credible deterrence against aggression, leading to the development of instincts for revenge and protecting reputation"
What does Pinker argue has reduced the level of violence compared to the ancestral environment?,The development of the state and the police
What is one objection to sociobiological theories of rape?,That they do not consider rape to be a behavioral adaptation
Is cognition's functional structure universally shared amongst humans?,true
Is religious belief considered a direct result of evolutionary adaptations according to all evolutionary psychologists?,No
What is the primary assumption behind this approach?,Human beings have evolved to live in groups instead of living as individuals.
What is one criticism of evolutionary psychology?,Unfalsifiable hypotheses
What has been suggested by critics of evolutionary psychology?,That its theories and interpretations rely heavily on ideological assumptions about race and gender
What is one criticism of evolutionary psychology?,Some critics argue that it can be used to stifle legitimate ethical discussions.
What is one example of an evolutionary model mentioned in the context?,The evolutionary psychology model of extended social groups selecting for modern human brains
Can monkeys remain socially functioning after the removal of most of their brain?,Yes
What is a limitation of using physical strength or risk-taking to determine the value of food in different ecologies?,"The fact that valuable food would be different in different ecologies, with vegetable being more valuable in some areas and animal in others."
What is being suggested as the motivation behind the value of food in certain African communities?,bartered food
Is it pointless for a male to quickly assess female fertility if he needs to assess the risk of a jealous male mate?,True
What is the topic being discussed in this context?,Mathematics or logic
What is a term used by evolutionary psychologists to refer to their opposing viewpoint?,The Standard Social Science Model (SSSM)
"What is the nickname given to the perspective characterized as 'blank slate', 'relativist', 'social constructionist', and 'cultural determinist'?",The 'blank slate'
Did the scientists associated with the SSSM really believe in a 'blank slate' theory?,No
What is a common criticism of evolutionary psychology?,That it does not address the complexity of individual development and experience and fails to explain the influence of genes on behavior in individual cases
What is the primary focus of evolutionary psychology?,The evolution of psychological adaptations
What is the primary focus of the field of behavioral genetics?,The study of the proximate influence of genes on behavior
